Predator,Prey,Diet Percentage
SilverHake,BlackSeaBass,0.001
SilverHake,Butterfish,0.030
SilverHake,Cod,0.012
SilverHake,GelZooplankton,0.007
SilverHake,Haddock,0.108
SilverHake,Illex,1.324
SilverHake,Krill,12.898
SilverHake,LgCopepods,0.032
SilverHake,Loligo,0.627
SilverHake,Macrobenthos,1.107
SilverHake,Megabenthos,2.648
SilverHake,Mesopelagics,0.003
SilverHake,Micronekton,11.281
SilverHake,NShrimp,0.243
SilverHake,OtherCephalopods,0.007
SilverHake,OtherDemersals,0.800
SilverHake,OtherPelagics,1.657
SilverHake,OtherShrimps,8.926
SilverHake,Redfish,0.161
SilverHake,RedHake,0.072
SilverHake,RiverHerring,0.919
SilverHake,SilverHake,3.098
SilverHake,SmCopepods,0.007
SilverHake,SmPelagics,29.478
SilverHake,WhiteHake,0.002
SilverHake,WitchFlounder,0.001
SmCopepods,Bacteria,3.000
SmCopepods,Detritus,13.057
SmCopepods,LgCopepods,0.132
SmCopepods,Microzooplankton,8.337
SmCopepods,Phytoplankton,72.406
SmCopepods,SmCopepods,3.068
SmFlatfishes,Macrobenthos,67.167
SmFlatfishes,Micronekton,32.833
SmoothDogfish,AmLobster,16.736
SmoothDogfish,Butterfish,5.325
SmoothDogfish,Loligo,0.346
SmoothDogfish,Macrobenthos,8.022
SmoothDogfish,Megabenthos,57.676
SmoothDogfish,OtherCephalopods,6.224
SmoothDogfish,OtherDemersals,0.138
SmoothDogfish,SilverHake,5.533
SmPelagics,GelZooplankton,2.178
SmPelagics,Krill,0.809
SmPelagics,LgCopepods,55.722
SmPelagics,Macrobenthos,0.366
SmPelagics,Micronekton,4.362
SmPelagics,Phytoplankton,16.567
SmPelagics,SmCopepods,19.997
SpinyDogfish,AmLobster,1.135
SpinyDogfish,AmPlaice,1.175
SpinyDogfish,AtlHerring,17.210
SpinyDogfish,AtlMackerel,1.689
SpinyDogfish,AtlScallop,0.021
SpinyDogfish,BlackSeaBass,0.006
SpinyDogfish,Butterfish,0.049
SpinyDogfish,Cod,0.439
SpinyDogfish,Fourspot,0.218
SpinyDogfish,GelZooplankton,23.437
SpinyDogfish,Goosefish,0.749
SpinyDogfish,Haddock,0.200
SpinyDogfish,Illex,3.496
SpinyDogfish,Krill,4.697
SpinyDogfish,LgCopepods,0.003
SpinyDogfish,Loligo,1.199
SpinyDogfish,Macrobenthos,3.871
SpinyDogfish,Megabenthos,1.882
SpinyDogfish,Mesopelagics,0.008
SpinyDogfish,Micronekton,2.852
SpinyDogfish,NShrimp,0.247
SpinyDogfish,OceanPout,1.044
SpinyDogfish,Odontocetes,0.025
SpinyDogfish,OtherCephalopods,0.065
SpinyDogfish,OtherDemersals,6.101
SpinyDogfish,OtherPelagics,0.942
SpinyDogfish,OtherShrimps,2.749
SpinyDogfish,OtherSkates,0.037
SpinyDogfish,Pollock,0.135
SpinyDogfish,Redfish,0.834
SpinyDogfish,RedHake,0.847
SpinyDogfish,RiverHerring,0.919
SpinyDogfish,Sharks,0.017
SpinyDogfish,SilverHake,5.940
SpinyDogfish,SmCopepods,0.001
SpinyDogfish,SmPelagics,13.962
SpinyDogfish,SpinyDogfish,0.131
SpinyDogfish,WhiteHake,0.627
SpinyDogfish,Windowpane,0.084
SpinyDogfish,WinterFlounder,0.718
SpinyDogfish,WitchFlounder,0.044
SpinyDogfish,YTFlounder,0.194
SummerFlounder,AtlMackerel,8.688
SummerFlounder,Butterfish,9.984
SummerFlounder,Loligo,15.291
SummerFlounder,Megabenthos,8.782
SummerFlounder,Micronekton,0.295
SummerFlounder,OtherCephalopods,2.780
SummerFlounder,OtherDemersals,6.342
SummerFlounder,OtherPelagics,17.376
SummerFlounder,OtherShrimps,0.139
SummerFlounder,OtherSkates,4.778
SummerFlounder,SilverHake,15.291
SummerFlounder,SmPelagics,10.252
WhiteHake,AmLobster,0.033
WhiteHake,AmPlaice,0.072
WhiteHake,AtlHerring,17.506
WhiteHake,AtlMackerel,0.366
WhiteHake,AtlScallop,0.001
WhiteHake,Cod,0.197
WhiteHake,GelZooplankton,0.090
WhiteHake,Goosefish,0.053
WhiteHake,Haddock,0.724
WhiteHake,Illex,6.034
WhiteHake,Krill,3.138
WhiteHake,LgCopepods,0.002
WhiteHake,Loligo,0.076
WhiteHake,Macrobenthos,0.550
WhiteHake,Megabenthos,4.867
WhiteHake,Mesopelagics,0.043
WhiteHake,Micronekton,8.834
WhiteHake,NShrimp,0.734
WhiteHake,OceanPout,0.039
WhiteHake,OtherCephalopods,0.010
WhiteHake,OtherDemersals,1.060
WhiteHake,OtherPelagics,0.433
WhiteHake,OtherShrimps,7.960
WhiteHake,Pollock,0.122
WhiteHake,Redfish,1.542
WhiteHake,RedHake,1.202
WhiteHake,RiverHerring,1.090
WhiteHake,SilverHake,11.879
WhiteHake,SmCopepods,3.69E-04
WhiteHake,SmFlatfishes,0.002
WhiteHake,SmPelagics,21.436
WhiteHake,WhiteHake,9.597
WhiteHake,WinterFlounder,0.195
WhiteHake,WitchFlounder,0.116
WhiteHake,YTFlounder,0.001
Windowpane,AmLobster,0.050
Windowpane,AtlHerring,0.098
Windowpane,Krill,9.942
Windowpane,LgCopepods,0.504
Windowpane,Macrobenthos,10.304
Windowpane,Mesopelagics,0.164
Windowpane,Micronekton,44.977
Windowpane,NShrimp,0.164
Windowpane,OceanPout,0.295
Windowpane,OtherCephalopods,0.032
Windowpane,OtherShrimps,18.760
Windowpane,SilverHake,0.328
Windowpane,SmCopepods,0.108
Windowpane,SmPelagics,14.272
WinterFlounder,AmLobster,1.716
WinterFlounder,AtlScallop,0.266
WinterFlounder,GelZooplankton,2.915
WinterFlounder,Krill,0.175
WinterFlounder,LgCopepods,0.376
WinterFlounder,Macrobenthos,92.043
WinterFlounder,Megabenthos,1.625
WinterFlounder,Micronekton,0.232
WinterFlounder,OtherCephalopods,0.050
WinterFlounder,OtherShrimps,0.168
WinterFlounder,SmCopepods,0.080
WinterFlounder,SmPelagics,0.353
WinterSkate,AmLobster,0.486
WinterSkate,AmPlaice,0.250
WinterSkate,AtlHerring,4.054
WinterSkate,AtlMackerel,3.037
WinterSkate,AtlScallop,0.013
WinterSkate,Krill,0.943
WinterSkate,LgCopepods,0.050
WinterSkate,Macrobenthos,32.919
WinterSkate,Megabenthos,3.355
WinterSkate,Micronekton,4.274
WinterSkate,NShrimp,0.029
WinterSkate,OceanPout,0.108
WinterSkate,OtherCephalopods,0.554
WinterSkate,OtherDemersals,4.398
WinterSkate,OtherShrimps,5.895
WinterSkate,OtherSkates,0.147
WinterSkate,RiverHerring,0.177
WinterSkate,SilverHake,4.607
WinterSkate,SmCopepods,0.011
WinterSkate,SmPelagics,34.639
WinterSkate,WitchFlounder,0.044
WinterSkate,YTFlounder,0.010
WitchFlounder,GelZooplankton,0.207
WitchFlounder,Krill,1.329
WitchFlounder,LgCopepods,0.002
WitchFlounder,Macrobenthos,96.154
WitchFlounder,Megabenthos,0.495
WitchFlounder,Micronekton,1.306
WitchFlounder,OtherCephalopods,0.020
WitchFlounder,OtherShrimps,0.487
WitchFlounder,SmCopepods,4.72E-04
YTFlounder,GelZooplankton,0.259
YTFlounder,Krill,0.412
YTFlounder,LgCopepods,0.782
YTFlounder,Macrobenthos,89.978
YTFlounder,Megabenthos,0.768
YTFlounder,Micronekton,0.847
YTFlounder,OtherShrimps,0.605
YTFlounder,SmCopepods,0.167
YTFlounder,SmPelagics,6.182
